证券代码,证券简称,开盘价,最高价,最低价,收盘价,成交量,成交额
600000,浦发银行,10.71,10.75,10.58,10.67,33992733,362271178
600004,白云机场,8.84,8.85,8.76,8.79,12938153,113772692
600006,东风股份,7.03,7.17,7.03,7.13,39324395,278999344
600007,中国国贸,22.8,22.94,22.37,22.55,3672392,82718589
600008,首创环保,3.09,3.11,3.07,3.1,58861002,181910779
600009,上海机场,32.35,32.46,32.07,32.08,6045242,194605545
600010,包钢股份,1.79,1.8,1.76,1.77,233052651,413397274
600011,华能国际,7.06,7.12,7.04,7.08,39128600,277165414
600012,皖通高速,17.56,17.75,17.4,17.57,2427356,42654227
600015,华夏银行,7.98,7.99,7.86,7.86,36440521,288216779
600016,民生银行,4.01,4.02,3.96,3.97,145971408,580826161
600017,日照港,3.14,3.18,3.1,3.14,61152331,191411320
600018,上港集团,5.53,5.54,5.48,5.49,29277800,161122124
600019,宝钢股份,6.63,6.64,6.52,6.53,113884990,746006559
600020,中原高速,4.4,4.45,4.36,4.39,13160288,57900825
600021,上海电力,8.81,8.83,8.77,8.79,24966708,219444323
600022,山东钢铁,1.31,1.31,1.3,1.3,14324535,18673078
600023,浙能电力,5.7,5.71,5.65,5.65,48983489,277575431
600025,华能水电,9.33,9.33,9.23,9.23,31619814,292920488
600026,中远海能,10.04,10.12,10.01,10.06,14654323,147473022
600027,华电国际,5.72,5.78,5.68,5.72,65932242,377050252
600028,中国石化,5.72,5.72,5.67,5.68,75735469,430762152
600029,南方航空,5.75,5.76,5.7,5.7,28639170,163556026
600030,中信证券,25.23,25.28,25.04,25.13,48372379,1216639786
600031,三一重工,19.01,19.64,18.98,19.4,71991972,1395551262
600032,浙江新能,7.85,7.94,7.81,7.82,22835000,179402493
600033,福建高速,3.66,3.67,3.61,3.62,39035699,141951565
600035,楚天高速,4.33,4.34,4.3,4.31,11700920,50492048
600036,招商银行,42.3,42.3,41.77,41.99,46774359,1965588261
600037,歌华有线,6.95,7.04,6.95,6.98,10095632,70584348
600038,中直股份,36.35,36.44,35.92,36.08,4610328,166245284
600039,四川路桥,8.5,8.57,8.12,8.5,39352048,330581686
600048,保利发展,9,9.03,8.81,8.84,96991845,864622606
600050,中国联通,5.41,5.42,5.33,5.34,266146197,1425741309
600051,宁波联合,6.68,7.03,6.65,6.73,9781499,66678101
600052,东望时代,4.13,4.15,4.07,4.08,3776608,15468511
600053,九鼎投资,14.09,14.13,13.45,13.49,13693800,187190883
600054,黄山旅游,11.99,12.17,11.85,11.89,11578643,138627557
600055,万东医疗,17.69,17.88,17.55,17.62,4744500,83870148
600056,中国医药,10.18,10.23,10.11,10.12,6171120,62566622
600057,厦门象屿,6.44,6.45,6.3,6.35,24010540,152516454
600058,五矿发展,7.1,7.14,6.99,7.05,8875800,62541285
600059,古越龙山,8.74,8.82,8.66,8.67,12850679,112075921
600060,海信视像,24.6,24.82,24.09,24.2,10802119,263820668
600061,国投资本,6.95,6.96,6.84,6.86,23925226,164486327
600062,华润双鹤,18.32,18.39,18.13,18.17,7790235,141809397
600063,皖维高新,4.58,4.67,4.55,4.63,29248901,134722686
600064,南京高科,7.38,7.42,7.28,7.3,21161504,155184103
600066,宇通客车,27.43,27.95,27.35,27.88,13530623,375138615
600067,冠城新材,2.33,2.35,2.31,2.33,10312400,24048553
600070,*ST富润,0,0,0,0.42,0,0
600071,凤凰光学,19.23,19.55,19.12,19.4,3468602,67156541
600072,中船科技,12.02,12.1,11.98,12.01,9503292,114341619
600073,光明肉业,8.66,8.66,8.29,8.32,29174877,246316188
600075,新疆天业,4.23,4.27,4.21,4.23,7496412,31752388
600076,康欣新材,1.99,2,1.97,1.98,10983800,21762961
600078,澄星股份,5.22,5.27,5.16,5.21,6465001,33686293
600079,人福医药,20.91,21.13,20.76,20.89,11771242,246578135
600080,金花股份,7.38,7.41,7.28,7.32,3595454,26369397
600081,东风科技,13.67,14.48,13.64,14.47,32791831,461987500
600082,海泰发展,3.01,3.03,2.95,2.96,10007354,29855121
600084,中信尼雅,5.57,5.59,5.46,5.47,3143300,17325316
600085,同仁堂,36.8,37.05,36.4,36.45,7223909,264388070
600088,中视传媒,16.66,16.67,16.45,16.54,2135400,35321003
600089,特变电工,11.69,11.73,11.59,11.61,24381542,283484509
600094,大名城,3.37,3.4,3.17,3.2,53139187,173935860
600095,湘财股份,8.45,8.62,8.26,8.43,125685706,1054456369
600096,云天化,22.13,22.43,22.05,22.27,19321715,429636000
600097,开创国际,9.59,9.69,9.53,9.65,4832100,46428736
600098,广州发展,6.3,6.41,6.24,6.38,22625355,143205454
600099,林海股份,9.8,10.24,9.8,10.1,6402100,64129895
600100,同方股份,7.08,7.19,7.08,7.14,37147816,265414475
600101,明星电力,11.82,11.86,11.53,11.64,86394374,1009476248
600103,青山纸业,2.14,2.16,2.12,2.12,37251429,79538151
600104,上汽集团,15.35,15.64,15.33,15.41,35990738,556814883
600105,永鼎股份,6.2,6.54,6.19,6.32,262459751,1659688347
600106,重庆路桥,5.13,5.32,5.13,5.2,19782861,103408872
600107,美尔雅,4.18,4.44,4.18,4.23,20341330,87401662
600108,亚盛集团,2.93,2.94,2.88,2.89,44924400,130486842
600109,国金证券,8,8.04,7.94,7.96,17162669,136946002
600110,诺德股份,3.52,3.61,3.52,3.54,25413574,90736419
600111,北方稀土,23.16,23.73,23.16,23.5,48967030,1148336018
600113,浙江东日,14.74,14.74,14.29,14.34,4160081,59894007
600114,东睦股份,18.98,19.47,18.78,19.2,17905193,342528730
600115,中国东航,3.77,3.79,3.73,3.74,56310023,211161647
600116,三峡水利,6.73,6.73,6.66,6.67,7102099,47470930
600117,西宁特钢,2.07,2.08,2.05,2.06,10076643,20781698
600118,中国卫星,26.37,26.4,26.12,26.26,7541711,197790029
600119,长江投资,8.08,8.5,8.04,8.04,41080883,336995893
600120,浙江东方,5.91,6.03,5.91,5.94,63945399,381184207
600121,郑州煤电,3.8,3.8,3.77,3.78,13463432,50946707
600123,兰花科创,7.24,7.27,7.22,7.22,4510842,32642170
600125,铁龙物流,5.76,5.78,5.7,5.71,15304250,87672537
600126,杭钢股份,11.25,11.57,11.11,11.26,208857568,2364120423
600127,金健米业,6.87,6.91,6.76,6.78,29286754,199649991
600128,苏豪弘业,10.38,10.49,10,10.16,28869202,294386263
600129,太极集团,20.62,20.9,20.3,20.38,11021561,226274034
600130,波导股份,2.84,2.93,2.84,2.85,26017700,74725976
600131,国网信通,18.39,18.53,18.15,18.3,7084001,129399801
600132,重庆啤酒,56.91,57.18,56.4,56.6,2607281,147798196
600133,东湖高新,9.04,9.15,9.01,9.08,13805569,125492047
600135,乐凯胶片,6.95,7.06,6.92,6.96,6027182,42022160
600136,ST明诚,2.1,2.14,2.06,2.07,12902902,27157131
600137,浪莎股份,14.95,15.1,14.87,14.9,1114700,16693656
600138,中青旅,10.2,10.25,10.07,10.09,16219892,164393815
600141,兴发集团,20.27,20.38,20.13,20.27,10257300,207713634
600143,金发科技,10.58,10.81,10.47,10.67,62239962,662906363
600148,长春一东,17.16,17.66,17.14,17.61,1919400,33589625
