日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20240719,13.26,13.63,12.95,13.14,5036100,66469216
20240722,13.14,13.6,12.93,13.52,4170200,55491275
20240723,13.52,13.62,12.86,12.97,3375500,44683648
20240724,12.85,13.01,12.5,12.55,2416100,30694853
20240725,12.5,13.15,12.32,12.96,3076500,39528106
20240726,12.75,12.98,12.55,12.75,2859100,36440945
20240729,12.62,12.71,12.06,12.16,3425600,41766675
20240730,12.11,12.22,11.98,12.07,1903300,23028832
20240731,12.18,12.59,12.07,12.53,2347700,29085533
20240801,12.64,12.64,12.31,12.39,1725800,21468313
20240802,12.34,12.43,12.09,12.12,1735800,21274695
20240805,13.18,14.5,12.65,12.72,10211600,137426276
20240806,12.29,13.98,12.25,13.47,9910500,127835184
20240807,13.2,13.23,12.67,12.73,6436900,82992657
20240808,12.68,12.83,12.33,12.5,3703800,46404969
20240809,12.54,12.83,12.17,12.17,3918700,48970428
20240812,12.01,12.07,11.68,11.78,3074800,36310255
20240813,11.78,11.89,11.56,11.8,1609400,18837891
20240814,11.8,11.84,11.66,11.72,1224900,14367528
20240815,11.68,11.88,11.6,11.73,1545500,18138706
20240816,11.75,11.77,11.4,11.45,1813300,20922636
20240819,11.4,11.5,11.25,11.3,1262700,14335614
20240820,11.27,11.32,10.96,11.04,1714300,19015449
20240821,11,11.14,10.96,11.06,889400,9834242
20240822,11.05,11.25,10.97,10.98,1311500,14557975
20240823,10.94,10.95,10.58,10.67,1548900,16616391
20240826,10.69,10.95,10.59,10.92,1335200,14484095
20240827,10.93,10.99,10.68,10.77,946400,10239734
20240828,10.74,11.03,10.61,10.9,1121800,12152680
20240829,10.9,11.18,10.72,11.09,1195400,13115367
20240830,11.11,11.49,11.02,11.3,1721800,19469697
20240902,11.3,11.43,11.21,11.25,1372200,15537076
20240903,11.32,11.45,11.21,11.35,977700,11117731
20240904,11.27,11.33,11.1,11.17,1229300,13767961
20240905,11.23,11.34,11.14,11.31,832700,9373538
20240906,11.33,11.33,11.02,11.04,1052100,11693348
20240909,11.01,11.31,10.85,11.12,1291400,14350549
20240910,11.21,11.24,11.03,11.23,1104600,12297447
20240911,11.11,11.26,11.03,11.09,755400,8398838
20240912,11.08,11.2,10.96,10.96,868100,9635827
20240913,11.01,11.01,10.77,10.79,989200,10737560
20240918,10.78,10.78,10.4,10.63,1147500,12109699
20240919,10.63,11.07,10.63,10.98,1454500,15875843
20240920,11,11.08,10.71,10.77,939600,10181918
20240923,10.77,10.9,10.71,10.83,829600,8974868
20240924,10.9,11.19,10.85,11.15,1665100,18393935
20240925,11.19,11.45,11.19,11.3,1982100,22495258
20240926,11.24,11.55,11.24,11.54,1665600,19044960
20240927,11.89,12.3,11.75,12.14,4086300,49244473
20240930,12.59,14,12.38,13.84,6539900,86204223
20241008,16.2,16.2,13.94,14.86,7871100,116995816
20241009,14.49,14.49,12.99,13,5321400,72688095
20241010,13.28,13.69,12.98,13.23,3272000,43734816
20241011,13.4,13.4,12.59,12.72,2513800,32384217
20241014,12.85,13.15,12.64,13.05,2324000,30006991
20241015,13.18,13.18,12.81,12.85,2059600,26681065
20241016,12.66,13.02,12.5,12.92,1763800,22688431
20241017,12.94,13.19,12.68,12.75,1716100,22241178
20241018,12.75,13.32,12.65,13.05,3115900,40392488
20241021,13.1,13.24,12.92,13.11,2903400,37941016
20241022,13.12,13.62,13.09,13.51,3099100,41366272
20241023,13.3,13.95,13.14,13.73,6282800,86157500
20241024,13.59,14.1,13.43,13.68,4032000,55143420
20241025,13.68,13.79,13.5,13.61,4601200,62631663
20241028,13.62,13.82,13.61,13.75,3454300,47464430
20241029,13.84,13.94,13.29,13.29,3398800,45973156
20241030,13.34,13.46,13.07,13.25,2396000,31747785
20241031,13.25,13.4,13.15,13.22,2429200,32259078
20241101,12.99,13.27,12.69,12.81,3424100,44336810
20241104,12.85,13.15,12.76,13.14,2494900,32488041
20241105,13.19,13.72,13.15,13.69,4696800,63693455
20241106,13.72,13.97,13.68,13.76,5114100,70739409
20241107,13.62,14.22,13.62,14.12,3115200,43758611
20241108,14.38,14.4,13.93,14.04,3316300,46664262
20241111,14.08,14.35,13.88,14.35,2822600,40215138
20241112,14.33,14.89,14.28,14.44,4498800,65461338
20241113,14.49,14.53,13.94,14.35,2858200,40646501
20241114,14.38,14.57,13.94,13.99,2250600,31932548
20241115,13.99,14.3,13.76,13.81,2419300,33992407
20241118,13.88,14,13.28,13.51,2602900,35333714
20241119,13.56,13.8,13.38,13.8,1831100,24876160
20241120,13.89,14.25,13.8,14.17,2519900,35544584
20241121,14.17,14.32,14.04,14.21,1993400,28290003
20241122,14.24,14.3,13.61,13.61,2403500,33687829
20241125,13.64,14.3,13.64,14.19,2507900,35138349
20241126,14.13,14.51,14.07,14.15,2398600,34255682
20241127,14.17,14.81,13.65,14.75,5615000,80539129
20241128,14.78,15.29,14.62,14.72,6287200,93440766
20241129,14.8,15.24,14.62,15.09,6082400,91417583
20241202,14.96,15.71,14.96,15.51,6325200,97336741
20241203,15.3,15.39,15,15.23,4879200,73951451
20241204,15.14,15.3,14.46,14.59,5365600,79349520
20241205,14.69,14.83,14.57,14.66,2859600,41965487
20241206,14.81,14.85,14.5,14.68,2328500,34124536
20241209,14.77,14.78,14.38,14.65,2388100,34905725
20241210,14.99,15.16,14.5,14.55,3626100,53547317
20241211,14.56,15.26,14.55,15.17,4893400,73230287
20241212,15.12,15.76,15,15.6,6350300,98052670
20241213,15.65,16.15,15.46,15.51,7364300,116162034
20241216,15.63,16.5,15.53,15.74,8188700,130091863
20241217,18.1,18.89,16.94,17.66,28230100,514661039
20241218,16,17.4,15.44,16.65,20377400,330186505
20241219,15.83,16.13,15.28,15.28,14783600,231686643
20241220,15.39,15.7,15.01,15.03,11260400,172486807
20241223,14.75,14.88,13.58,13.65,10980200,154678402
20241224,13.83,13.86,13.2,13.43,6595700,88706915
20241225,13.4,13.42,12.77,13.07,5694900,74347358
20241226,13.15,13.37,13.03,13.21,3856100,51062561
20241227,13.28,13.62,13.16,13.32,4494700,60226441
20241230,13.35,13.35,12.85,12.88,3977800,51535561
20241231,12.89,13.11,12.66,12.66,3519500,45294180
20250102,12.68,13.16,12.46,12.64,4542200,58190163
20250103,12.69,12.76,11.88,11.9,4762500,57915536
20250106,11.91,12,11.33,11.8,3192200,37417405
20250107,11.87,12.18,11.77,12.17,3077100,36890853
20250108,12.1,12.31,11.75,12.2,3412200,41278817
20250109,12.1,12.29,11.91,12.19,2199600,26827209
20250110,12.16,12.29,11.64,11.65,2896000,34584716
20250113,11.46,11.73,11.16,11.66,2838800,32652783
20250114,11.79,12.34,11.79,12.32,3687800,44659182
20250115,12.32,12.53,12.24,12.37,2660000,32984793
20250116,12.38,12.78,12.29,12.67,3885400,48733131
20250117,12.52,12.75,12.34,12.65,3291000,41276762
20250120,13.39,13.6,12.78,12.92,4074100,52853559
20250121,13.03,13.12,12.71,12.91,3448200,44412399
20250122,13,13,12.58,12.62,2192700,27893299
20250123,12.93,13.03,12.63,12.67,2110100,27123576
20250124,12.55,12.95,12.55,12.9,1943100,24768870
20250127,12.96,13.23,12.85,12.85,2301400,30064859
20250205,13.09,13.09,12.81,12.88,2708900,34947920
20250206,12.9,13.15,12.73,13.1,3570100,46375365
20250207,13.19,14.6,13,14.12,11911900,166302719
20250210,13.99,14,13.37,13.79,8418600,114854933
20250211,13.84,13.86,13.5,13.56,4285600,58204258
20250212,13.6,13.63,13.44,13.6,3632800,49183832
20250213,13.68,13.69,13.31,13.36,3208800,43164170
20250214,13.33,13.57,13.32,13.44,2655500,35609621
20250217,13.46,13.83,13.46,13.68,4248800,58109143
20250218,13.74,13.77,13.1,13.11,3913800,52321483
20250219,13.14,13.45,13.08,13.4,2526100,33655011
20250220,13.44,13.55,13.36,13.51,2529800,34098005
20250221,13.45,13.58,13.16,13.32,2892800,38498999
20250224,13.22,13.97,13.18,13.81,6919300,94224435
20250225,13.58,13.88,13.4,13.5,3631200,49265958
20250226,13.55,13.99,13.47,13.79,4634300,63441491
20250227,13.71,13.88,13.43,13.73,3468300,47359397
20250228,13.7,13.74,13.29,13.32,2579000,34834097
20250303,13.39,13.93,13.39,13.6,3272600,44716503
20250304,13.52,13.82,13.52,13.78,2480000,33859867
20250305,13.69,13.82,13.48,13.67,2486300,33769089
20250306,13.69,14.03,13.69,13.94,3424900,47584076
20250307,13.96,14.08,13.76,13.94,2778300,38577890
20250310,14.26,14.46,13.92,14.03,3666000,51683602
20250311,13.82,14.64,13.8,14.6,6459100,92696100
20250312,14.65,14.99,14.46,14.66,6318300,92910849
20250313,14.71,14.73,14.2,14.41,3424400,49346899
20250314,14.42,14.86,14.35,14.85,3976600,58149593
20250317,14.84,14.98,14.5,14.61,3773200,55206864
20250318,14.63,14.72,14.48,14.61,2348700,34247302
20250319,14.6,14.99,14.48,14.78,4342100,64175139
20250320,14.73,14.81,14.43,14.48,2968700,43154437
20250321,14.49,14.49,14.11,14.3,2649900,37802057
20250324,14.3,14.5,13.46,13.83,3830900,53544305
20250325,13.8,13.85,13.3,13.71,3044500,41336468
20250326,13.7,14.05,13.61,13.9,2193200,30531586
20250327,13.97,14.06,13.57,13.73,2141400,29565463
